Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/gp/goldbox/,,,,,,,,
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D,,,,,,,,
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D,,,,,,,,
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D,,,,,,,,
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D,,,,,,,,
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,,,,,,,,
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,,,,,,,,
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,,,,,,,,
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,,,,,,,,
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,,,,,,,,
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,,,,,,,,
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,,,,,,,,
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,,,,,,,,
https://www.amazon.in/Amazon-Basics-Anti-theft-College-Backpack/dp/B0C8NWKRRH,,,,,,,,
https://www.amazon.in/Amazon-Basics-Anti-theft-College-Backpack/dp/B0C8NWKRRH,In stock,869,4.5 out of 5 stars,,"<div class=""a-section a-spacing-small"" id=""productDescription""> <!-- show up to 2 reviews by default -->
<p> <span>1 Spacious Padded compartment</span> </p> </div>",,1 Spacious Padded compartment,Brand: Amazon Basics
https://www.amazon.in/Amazon-Basics-Anti-theft-College-Backpack/dp/B0C8NWKRRH,,,,,,,,
https://www.amazon.in/gp/goldbox/,,,,,,,,
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,,,,,,,,
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,In stock,"1,374.00",4.4 out of 5 stars,,"<div class=""a-section a-spacing-small"" id=""productDescription""> <!-- show up to 2 reviews by default -->
<p> <span>Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.</span> </p> </div>",,"Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.",Brand: Wildcraft
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,,,,,,,,
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,,,,,,,,
https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,,,,,,,,
https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,,,,,,,,
https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,,,,,,,,
https://www.amazon.in/gp/goldbox/,,,,,,,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=ObdUV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=M4MYCCF62M47JXBFXCJJ&pd_rd_wg=7PbE2&pd_rd_r=eb1b57da-0a0c-4c20-8825-ef6ca7615aca&qid=1690019590,,,,,,,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=ObdUV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=M4MYCCF62M47JXBFXCJJ&pd_rd_wg=7PbE2&pd_rd_r=eb1b57da-0a0c-4c20-8825-ef6ca7615aca&qid=1690019590,,,,,,,,
